Id,SourceId,ItemId,Source,URL,Title,LongTitle,Creator,Date,ImageURL
artic_28560,artic,28560,The Art Institute of Chicago,https://www.artic.edu/artworks/28560/the-bedroom,The Bedroom,The Bedroom,Vincent van Gogh,1889,"https://www.artic.edu/iiif/2/25c31d8d-21a4-9ea1-1d73-6a2eca4dda7e/full/1686,/0/default.jpg"
artic_21023,artic,21023,The Art Institute of Chicago,https://www.artic.edu/artworks/21023/buddha-shakyamuni-seated-in-meditation-dhyanamudra,Buddha Shakyamuni Seated in Meditation (Dhyanamudra),Buddha Shakyamuni Seated in Meditation (Dhyanamudra),,1101,"https://www.artic.edu/iiif/2/0675f9a9-1a7b-c90a-3bb6-7f7be2afb678/full/1686,/0/default.jpg"
artic_24645,artic,24645,The Art Institute of Chicago,https://www.artic.edu/artworks/24645/under-the-wave-off-kanagawa-kanagawa-oki-nami-ura-also-known-as-the-great-wave-from-the-series-thirty-six-views-of-mount-fuji-fugaku-sanj%E7%AC%9Brokkei,Under the Wave off Kanagawa (Kanagawa oki nami ura),"Under the Wave off Kanagawa (Kanagawa oki nami ura), also known as The Great Wave, from the series ""Thirty-Six Views of Mount Fuji (Fugaku sanjūrokkei)""",Katsushika Hokusai,1826,"https://www.artic.edu/iiif/2/b3974542-b9b4-7568-fc4b-966738f61d78/full/1686,/0/default.jpg"
artic_61128,artic,61128,The Art Institute of Chicago,https://www.artic.edu/artworks/61128/at-the-moulin-rouge,At the Moulin Rouge,At the Moulin Rouge,Henri de Toulouse-Lautrec,1892,"https://www.artic.edu/iiif/2/defb4004-b500-218d-3d9b-9a02423f097d/full/1686,/0/default.jpg"
artic_11723,artic,11723,The Art Institute of Chicago,https://www.artic.edu/artworks/11723/woman-at-her-toilette,Woman at Her Toilette,Woman at Her Toilette,Berthe Morisot,1870,"https://www.artic.edu/iiif/2/78c80988-6524-cec7-c661-a4c0a706d06f/full/1686,/0/default.jpg"
artic_8991,artic,8991,The Art Institute of Chicago,https://www.artic.edu/artworks/8991/improvisation-no-30-cannons,Improvisation No. 30 (Cannons),Improvisation No. 30 (Cannons),Vasily Kandinsky,1913,"https://www.artic.edu/iiif/2/9e00e226-9264-cda0-2893-685e0ca5b285/full/1686,/0/default.jpg"
artic_154235,artic,154235,The Art Institute of Chicago,https://www.artic.edu/artworks/154235/the-girl-by-the-window,The Girl by the Window,The Girl by the Window,Edvard Munch,1893,"https://www.artic.edu/iiif/2/d7df2633-3b40-f570-c906-211503a37cde/full/1686,/0/default.jpg"
artic_19339,artic,19339,The Art Institute of Chicago,https://www.artic.edu/artworks/19339/arlesiennes-mistral,Arlésiennes (Mistral),Arlésiennes (Mistral),Paul Gauguin,1888,"https://www.artic.edu/iiif/2/ae6ac285-6887-dd76-4570-d379c786dfae/full/1686,/0/default.jpg"
artic_81512,artic,81512,The Art Institute of Chicago,https://www.artic.edu/artworks/81512/interrupted-reading,Interrupted Reading,Interrupted Reading,Jean Baptiste Camille Corot,1865,"https://www.artic.edu/iiif/2/1c2d32a7-790c-501a-e124-00f28cf5052d/full/1686,/0/default.jpg"
artic_62371,artic,62371,The Art Institute of Chicago,https://www.artic.edu/artworks/62371/madame-cezanne-in-a-yellow-chair,Madame Cezanne in a Yellow Chair,Madame Cezanne in a Yellow Chair,Paul Cezanne,1893,"https://www.artic.edu/iiif/2/4822cd01-44ac-041a-36b8-c0542377b750/full/1686,/0/default.jpg"
artic_60812,artic,60812,The Art Institute of Chicago,https://www.artic.edu/artworks/60812/merahi-metua-no-tehamana-tehamana-has-many-parents-or-the-ancestors-of-tehamana,Merahi metua no Tehamana,Merahi metua no Tehamana (Tehamana Has Many Parents or The Ancestors of Tehamana),Paul Gauguin,1893,"https://www.artic.edu/iiif/2/48268fc7-2eb4-ded6-1293-e91f27b66478/full/1686,/0/default.jpg"
artic_50909,artic,50909,The Art Institute of Chicago,https://www.artic.edu/artworks/50909/head-of-an-apostle,Head of an Apostle,Head of an Apostle,Unknown,1200,"https://www.artic.edu/iiif/2/73eb91ee-cde0-2f6d-843f-4f263d5c409f/full/1686,/0/default.jpg"
artic_65916,artic,65916,The Art Institute of Chicago,https://www.artic.edu/artworks/65916/movements,Movements,Movements,Marsden Hartley,1913,"https://www.artic.edu/iiif/2/173ec65a-bc7e-067c-fed1-1677bf5f26a9/full/1686,/0/default.jpg"
artic_88977,artic,88977,The Art Institute of Chicago,https://www.artic.edu/artworks/88977/evening-snow-on-a-floss-shaper-nurioke-no-bosetsu-from-the-series-eight-views-of-the-parlor-zashiki-hakkei,Evening Snow on a Floss Shaper (Nurioke no bosetsu),"Evening Snow on a Floss Shaper (Nurioke no bosetsu), from the series ""Eight Views of the Parlor (Zashiki hakkei)""",Suzuki Harunobu,1761,"https://www.artic.edu/iiif/2/229ac37a-143b-0dfe-7b01-b3da50ee6f18/full/1686,/0/default.jpg"
artic_187528,artic,187528,The Art Institute of Chicago,https://www.artic.edu/artworks/187528/head,Head,Head,Fang,1850,"https://www.artic.edu/iiif/2/73e4f1d9-97a2-1742-5235-72bfcaef9473/full/1686,/0/default.jpg"
artic_210511,artic,210511,The Art Institute of Chicago,https://www.artic.edu/artworks/210511/a-monumental-portrait-of-a-monkey,A Monumental Portrait of a Monkey,A Monumental Portrait of a Monkey,Stipple Master,1700,"https://www.artic.edu/iiif/2/67c7274f-612f-3180-0a12-e2c7ed5a7dd4/full/1686,/0/default.jpg"
artic_102131,artic,102131,The Art Institute of Chicago,https://www.artic.edu/artworks/102131/self-portrait-with-a-visor,Self-Portrait with a Visor,Self-Portrait with a Visor,Jean Baptiste Siméon Chardin,1771,"https://www.artic.edu/iiif/2/dfe5d0d9-5ef0-5ff7-dfa8-43a98d704493/full/1686,/0/default.jpg"
artic_111164,artic,111164,The Art Institute of Chicago,https://www.artic.edu/artworks/111164/green-and-blue-the-dancer,Green and Blue: The Dancer,Green and Blue: The Dancer,James McNeill Whistler,1888,"https://www.artic.edu/iiif/2/16c90e2f-1a1c-6b6d-d046-fcfdf20fab4e/full/1686,/0/default.jpg"
artic_89856,artic,89856,The Art Institute of Chicago,https://www.artic.edu/artworks/89856/the-actor-bando-mitsugoro-ii-as-ishii-genzo,The actor Bando Mitsugoro II as Ishii Genzo,The actor Bando Mitsugoro II as Ishii Genzo,Tōshūsai Sharaku,1794,"https://www.artic.edu/iiif/2/c0318a0c-9092-43ab-3237-6096d952b2c4/full/843,/0/default.jpg"
artic_52736,artic,52736,The Art Institute of Chicago,https://www.artic.edu/artworks/52736/the-letter-or-the-spanish-conversation,"The Letter, or The Spanish Conversation","The Letter, or The Spanish Conversation",Jean Honoré Fragonard,1773,"https://www.artic.edu/iiif/2/e1cd114a-18c7-f501-af90-4852b47facf1/full/843,/0/default.jpg"
artic_87088,artic,87088,The Art Institute of Chicago,https://www.artic.edu/artworks/87088/water-lily-pond,Water Lily Pond,Water Lily Pond,Claude Monet,1900,"https://www.artic.edu/iiif/2/8534685d-1102-e1e3-e194-94f6e925e8b0/full/1686,/0/default.jpg"
artic_4376,artic,4376,The Art Institute of Chicago,https://www.artic.edu/artworks/4376/the-nativity-and-the-adoration-of-the-shepherds,The Nativity and the Adoration of the Shepherds,The Nativity and the Adoration of the Shepherds,Nicoletto da Modena,1507,"https://www.artic.edu/iiif/2/9a8fe2a7-7db6-7dde-9e02-d759062d66fd/full/1686,/0/default.jpg"
artic_8980,artic,8980,The Art Institute of Chicago,https://www.artic.edu/artworks/8980/landscape-with-two-poplars,Landscape with Two Poplars,Landscape with Two Poplars,Vasily Kandinsky,1912,"https://www.artic.edu/iiif/2/9694ca0c-c4c4-e48d-566f-4d248990cff4/full/1686,/0/default.jpg"
